"","puppy","date","M","N"
"1","Anya 1",2019-10-01,249.425490196078,1020
"2","Anya 1",2019-10-02,342.069607843137,1020
"3","Anya 1",2019-10-03,289.71862745098,1020
"4","Anya 1",2019-10-04,345.789215686275,1020
"5","Anya 1",2019-10-05,371.407843137255,1020
"6","Anya 1",2019-10-06,313.849019607843,1020
"7","Anya 1",2019-10-07,362.23137254902,1020
"8","Anya 1",2019-10-08,359.497058823529,1020
"9","Anya 1",2019-10-09,370.479411764706,1020
"10","Anya 1",2019-10-10,469.550980392157,1020
"11","Anya 1",2019-10-11,312.53431372549,1020
"12","Anya 1",2019-10-12,317.141176470588,1020
"13","Anya 1",2019-10-13,360.867647058824,1020
"14","Anya 1",2019-10-14,273.876470588235,1020
"15","Anya 1",2019-10-15,206.621568627451,1020
"16","Anya 1",2019-10-16,2.04901960784314,102
"17","Anya 2",2019-10-16,5.82647058823529,1020
"18","Anya 2",2019-10-17,148.755882352941,1020
"19","Anya 2",2019-10-18,294.778431372549,1020
"20","Anya 2",2019-10-19,298.695098039216,1020
"21","Anya 2",2019-10-20,320.052941176471,1020
"22","Anya 2",2019-10-21,299.647058823529,1020
"23","Anya 2",2019-10-22,393.730392156863,1020
"24","Anya 2",2019-10-23,293.052941176471,1020
"25","Anya 2",2019-10-24,397.113725490196,1020
"26","Anya 2",2019-10-25,252.004901960784,1020
"27","Anya 2",2019-10-26,313.367647058824,1020
"28","Anya 2",2019-10-27,298.721568627451,1020
"29","Anya 2",2019-10-28,279.440196078431,1020
"30","Anya 2",2019-10-29,282.126470588235,1020
"31","Anya 2",2019-10-30,293.403921568627,1020
"32","Anya 2",2019-10-31,277.743137254902,1020
"33","Anya 2",2019-11-01,381.776470588235,1020
"34","Anya 2",2019-11-02,424.906862745098,1020
"35","Anya 2",2019-11-03,317.03431372549,1020
"36","Anya 2",2019-11-04,253.71568627451,1020
"37","Anya 2",2019-11-05,313.743137254902,1020
"38","Anya 2",2019-11-06,325.767647058824,1020
"39","Anya 2",2019-11-07,368.482352941176,1020
"40","Anya 2",2019-11-08,317.940196078431,1020
"41","Anya 2",2019-11-09,348.151960784314,1020
"42","Anya 2",2019-11-10,280.007843137255,1020
"43","Anya 2",2019-11-11,290.228431372549,1020
"44","Anya 2",2019-11-12,305.340196078431,1020
"45","Anya 2",2019-11-13,380.451960784314,1020
"46","Anya 2",2019-11-14,275.493137254902,1020
"47","Anya 2",2019-11-15,453.51862745098,1020
"48","Anya 2",2019-11-16,318.935294117647,1020
"49","Anya 2",2019-11-17,297.971568627451,1020
"50","Anya 2",2019-11-18,255.751960784314,1020
"51","Anya 2",2019-11-19,296.273529411765,1020
"52","Anya 2",2019-11-20,14.1813725490196,1020
"53","Anya 2",2019-11-21,7.67941176470588,1020
"54","Anya 2",2019-11-22,2.23725490196078,1020
"55","Anya 2",2019-11-23,0,1020
"56","Anya 2",2019-11-24,0,1020
"57","Anya 2",2019-11-25,0,1020
"58","Anya 2",2019-11-26,0.0107843137254902,1020
"59","Anya 2",2019-11-27,0.129411764705882,1020
"60","Anya 2",2019-11-28,0,1020
"61","Anya 2",2019-11-29,0,1020
"62","Anya 2",2019-11-30,0,1020
"63","Anya 2",2019-12-01,0,1020
"64","Anya 2",2019-12-02,0,1020
"65","Anya 2",2019-12-03,0,1020
"66","Anya 2",2019-12-04,0,1020
"67","Anya 2",2019-12-05,0,1020
"68","Anya 2",2019-12-06,2.32745098039216,1020
"69","Anya 2",2019-12-07,0,1020
"70","Anya 2",2019-12-08,0,1020
"71","Anya 2",2019-12-09,0.367609254498715,389
"72","Aries 1",2019-10-01,197.210784313725,1020
"73","Aries 1",2019-10-02,289.56862745098,1020
"74","Aries 1",2019-10-03,258.042156862745,1020
"75","Aries 1",2019-10-04,290.727450980392,1020
"76","Aries 1",2019-10-05,275.900980392157,1020
"77","Aries 1",2019-10-06,282.224509803922,1020
"78","Aries 1",2019-10-07,277.582352941176,1020
"79","Aries 1",2019-10-08,278.662745098039,1020
"80","Aries 1",2019-10-09,261.108823529412,1020
"81","Aries 1",2019-10-10,319.696078431373,1020
"82","Aries 1",2019-10-11,275.995098039216,1020
"83","Aries 1",2019-10-12,247.517647058824,1020
"84","Aries 1",2019-10-13,251.678431372549,1020
"85","Aries 1",2019-10-14,256.069607843137,1020
"86","Aries 1",2019-10-15,133.087254901961,1020
"87","Aries 1",2019-10-16,1.69791666666667,96
"88","Aries 2",2019-10-16,6.14803921568627,1020
"89","Aries 2",2019-10-17,169.248039215686,1020
"90","Aries 2",2019-10-18,233.63137254902,1020
"91","Aries 2",2019-10-19,227.324509803922,1020
"92","Aries 2",2019-10-20,273.398039215686,1020
"93","Aries 2",2019-10-21,192.990196078431,1020
"94","Aries 2",2019-10-22,241.424509803922,1020
"95","Aries 2",2019-10-23,276.286274509804,1020
"96","Aries 2",2019-10-24,300.11862745098,1020
"97","Aries 2",2019-10-25,193.489215686275,1020
"98","Aries 2",2019-10-26,219.655882352941,1020
"99","Aries 2",2019-10-27,241.743137254902,1020
"100","Aries 2",2019-10-28,233.195098039216,1020
"101","Aries 2",2019-10-29,255.057843137255,1020
"102","Aries 2",2019-10-30,280.511764705882,1020
"103","Aries 2",2019-10-31,159.043137254902,1020
"104","Aries 2",2019-11-01,251.960784313725,1020
"105","Aries 2",2019-11-02,242.113725490196,1020
"106","Aries 2",2019-11-03,162.148039215686,1020
"107","Aries 2",2019-11-04,218.427450980392,1020
"108","Aries 2",2019-11-05,219.5,1020
"109","Aries 2",2019-11-06,239.308823529412,1020
"110","Aries 2",2019-11-07,211.261764705882,1020
"111","Aries 2",2019-11-08,302.779411764706,1020
"112","Aries 2",2019-11-09,212.693137254902,1020
"113","Aries 2",2019-11-10,237.610784313726,1020
"114","Aries 2",2019-11-11,208.671568627451,1020
"115","Aries 2",2019-11-12,214.171568627451,1020
"116","Aries 2",2019-11-13,243.088235294118,1020
"117","Aries 2",2019-11-14,181.858823529412,1020
"118","Aries 2",2019-11-15,227.745098039216,1020
"119","Aries 2",2019-11-16,216.989215686275,1020
"120","Aries 2",2019-11-17,191.327450980392,1020
"121","Aries 2",2019-11-18,189.133333333333,1020
"122","Aries 2",2019-11-19,135.708823529412,1020
"123","Aries 2",2019-11-20,19.1401960784314,1020
"124","Aries 2",2019-11-21,9.73235294117647,1020
"125","Aries 2",2019-11-22,3.34019607843137,1020
"126","Aries 2",2019-11-23,0,1020
"127","Aries 2",2019-11-24,0,1020
"128","Aries 2",2019-11-25,0,1020
"129","Aries 2",2019-11-26,0.0686274509803922,1020
"130","Aries 2",2019-11-27,0.0686274509803922,1020
"131","Aries 2",2019-11-28,0,1020
"132","Aries 2",2019-11-29,0,1020
"133","Aries 2",2019-11-30,0,1020
"134","Aries 2",2019-12-01,0,1020
"135","Aries 2",2019-12-02,0,1020
"136","Aries 2",2019-12-03,0,1020
"137","Aries 2",2019-12-04,0,1020
"138","Aries 2",2019-12-05,0,1020
"139","Aries 2",2019-12-06,1.35588235294118,1020
"140","Aries 2",2019-12-07,0,1020
"141","Aries 2",2019-12-08,0,1020
"142","Aries 2",2019-12-09,1.18527918781726,394
"143","Arthur",2020-01-28,9.36274509803922,1020
"144","Arthur",2020-01-29,4.35098039215686,1020
"145","Arthur",2020-01-30,0,1020
"146","Arthur",2020-01-31,0.458823529411765,1020
"147","Arthur",2020-02-01,0,1020
"148","Arthur",2020-02-02,0,1020
"149","Arthur",2020-02-03,1.64901960784314,1020
"150","Arthur",2020-02-04,0.376470588235294,1020
"151","Arthur",2020-02-05,0,1020
"152","Arthur",2020-02-06,5.06176470588235,1020
"153","Arthur",2020-02-07,64.071568627451,1020
"154","Arthur",2020-02-08,78.5098039215686,1020
"155","Arthur",2020-02-09,0,1020
"156","Arthur",2020-02-10,0.0568627450980392,1020
"157","Arthur",2020-02-11,0,1020
"158","Arthur",2020-02-12,315.453921568627,1020
"159","Arthur",2020-02-13,196.540196078431,1020
"160","Arthur",2020-02-14,216.382352941176,1020
"161","Arthur",2020-02-15,223.660784313725,1020
"162","Arthur",2020-02-16,183.951960784314,1020
"163","Arthur",2020-02-17,763.48431372549,1020
"164","Arthur",2020-02-18,527.2,1020
"165","Arthur",2020-02-19,426.030392156863,1020
"166","Arthur",2020-02-20,456.470588235294,1020
"167","Arthur",2020-02-21,402.291176470588,1020
"168","Arthur",2020-02-22,426.675490196078,1020
"169","Arthur",2020-02-23,420.614705882353,1020
"170","Arthur",2020-02-24,418.020588235294,1020
"171","Arthur",2020-02-25,326.020588235294,1020
"172","Arthur",2020-02-26,332.478431372549,1020
"173","Arthur",2020-02-27,345.914705882353,1020
"174","Arthur",2020-02-28,354.342156862745,1020
"175","Arthur",2020-02-29,276.613725490196,1020
"176","Arthur",2020-03-01,318.1,1020
"177","Arthur",2020-03-02,343.280392156863,1020
"178","Arthur",2020-03-03,280.55,1020
"179","Arthur",2020-03-04,292.176470588235,1020
"180","Arthur",2020-03-05,311.405882352941,1020
"181","Arthur",2020-03-06,355.970588235294,1020
"182","Arthur",2020-03-07,309.177450980392,1020
"183","Arthur",2020-03-08,223.924509803922,1020
"184","Arthur",2020-03-09,261.91862745098,1020
"185","Arthur",2020-03-10,280.125490196078,1020
"186","Arthur",2020-03-11,62.5460784313725,1020
"187","Arthur",2020-03-12,58.8186274509804,1020
"188","Arthur",2020-03-13,6.47352941176471,1020
"189","Arthur",2020-03-14,0,1020
"190","Arthur",2020-03-15,0,1020
"191","Arthur",2020-03-16,0,1020
"192","Arthur",2020-03-17,0,1020
"193","Arthur",2020-03-18,0,1020
"194","Arthur",2020-03-19,0,1020
"195","Arthur",2020-03-20,0,1020
"196","Arthur",2020-03-21,0,1020
"197","Arthur",2020-03-22,0,1020
"198","Arthur",2020-03-23,0,1020
"199","Arthur",2020-03-24,0,1020
"200","Arthur",2020-03-25,0,1020
"201","Arthur",2020-03-26,0,1020
"202","Arthur",2020-03-27,0,1020
"203","Arthur",2020-03-28,0,1020
"204","Arthur",2020-03-29,0,1020
"205","Arthur",2020-03-30,0,1020
"206","Arthur",2020-03-31,0,1020
"207","Arthur",2020-04-01,0,1020
"208","Arthur",2020-04-02,0,1020
"209","Arthur",2020-04-03,0,1020
"210","Arthur",2020-04-04,0,1020
"211","Arthur",2020-04-05,0,1020
"212","Arthur",2020-04-06,0,1020
"213","Arthur",2020-04-07,0.0343137254901961,1020
"214","Arthur",2020-04-08,0,1020
"215","Arthur",2020-04-09,0,1020
"216","Arthur",2020-04-10,0,1020
"217","Arthur",2020-04-11,0,1020
"218","Arthur",2020-04-12,0,1020
"219","Arthur",2020-04-13,0,1020
"220","Arthur",2020-04-14,0,1020
"221","Arthur",2020-04-15,0,1020
"222","Arthur",2020-04-16,0,1020
"223","Arthur",2020-04-17,0,1020
"224","Arthur",2020-04-18,0,1020
"225","Arthur",2020-04-19,0,1020
"226","Arthur",2020-04-20,0,1020
"227","Arthur",2020-04-21,0,1020
"228","Arthur",2020-04-22,0,1020
"229","Arthur",2020-04-23,0,1020
"230","Arthur",2020-04-24,0,1020
"231","Arthur",2020-04-25,0,1020
"232","Arthur",2020-04-26,0,1020
"233","Arthur",2020-04-27,0,1020
"234","Arthur",2020-04-28,0,1020
"235","Arthur",2020-04-29,0,1020
"236","Arthur",2020-04-30,0,1020
"237","Arthur",2020-05-01,0,1020
"238","Arthur",2020-05-02,0,1020
"239","Arthur",2020-05-03,0,1020
"240","Arthur",2020-05-04,0,1020
"241","Arthur",2020-05-05,0,1020
"242","Arthur",2020-05-06,1.16209476309227,401
"243","Aurora ",2020-01-28,2.50392156862745,1020
"244","Aurora ",2020-01-29,5.07450980392157,1020
"245","Aurora ",2020-01-30,0,1020
"246","Aurora ",2020-01-31,0.356862745098039,1020
"247","Aurora ",2020-02-01,0,1020
"248","Aurora ",2020-02-02,0,1020
"249","Aurora ",2020-02-03,0.306862745098039,1020
"250","Aurora ",2020-02-04,0.215686274509804,1020
"251","Aurora ",2020-02-05,0,1020
"252","Aurora ",2020-02-06,4.52745098039216,1020
"253","Aurora ",2020-02-07,239.55,1020
"254","Aurora ",2020-02-08,227.805882352941,1020
"255","Aurora ",2020-02-09,220.538235294118,1020
"256","Aurora ",2020-02-10,163.666666666667,1020
"257","Aurora ",2020-02-11,216.494117647059,1020
"258","Aurora ",2020-02-12,220.227450980392,1020
"259","Aurora ",2020-02-13,173.571568627451,1020
"260","Aurora ",2020-02-14,189.153921568627,1020
"261","Aurora ",2020-02-15,165.594117647059,1020
"262","Aurora ",2020-02-16,164.824509803922,1020
"263","Aurora ",2020-02-17,467.228431372549,1020
"264","Aurora ",2020-02-18,426.121568627451,1020
"265","Aurora ",2020-02-19,397.016666666667,1020
"266","Aurora ",2020-02-20,361.85,1020
"267","Aurora ",2020-02-21,321.243137254902,1020
"268","Aurora ",2020-02-22,290.387254901961,1020
"269","Aurora ",2020-02-23,357.332352941176,1020
"270","Aurora ",2020-02-24,279.842156862745,1020
"271","Aurora ",2020-02-25,276.920588235294,1020
"272","Aurora ",2020-02-26,271.175490196078,1020
"273","Aurora ",2020-02-27,270.155882352941,1020
"274","Aurora ",2020-02-28,316.053921568627,1020
